lat_deg,lon_deg
3.01731861,30.93614326
3.033349,30.95528703
3.02234888,30.93317495
3.02093085,30.93866357
3.02249995,30.94126868
3.02227522,30.9419526
3.02825873,30.93629345
3.03555785,30.95199124
3.02891128,30.94185014
3.02848743,30.94241753
3.03714038,30.94741055
3.02742915,30.93272466
3.04120821,30.91419001
3.03536158,30.91570312
3.04425432,30.918474
3.03643921,30.92127693
0.340372451,30.41518595
3.04803899,30.91665006
0.169758333,30.389185
0.158536667,30.49064333
3.03974605,30.92013744
3.04066376,30.91782438
3.06133962,30.91727194
3.0463787,30.92299363
3.04342626,30.92505878
0.331606667,30.65963167
3.05970713,30.92393932
3.05261291,30.93017649
3.06012874,30.92222973
3.05915658,30.91978536
3.05946724,30.91219422
0.88646602,33.30322389
3.07497311,30.98737971
3.05587874,30.99282974
3.07284578,30.9860166
3.07878415,30.99936173
3.06906708,30.99113229
3.05954788,30.9967353
3.07640933,30.94887385
3.07488342,30.94526124
3.07203491,30.94967366
3.06849491,30.96598625
3.06943414,30.96542685
3.07331307,30.96552743
3.07619401,30.94506087
3.07627552,30.94513266
3.08107055,30.95144618
3.08018708,30.94810214
-0.0577,30.24945833
3.09982431,30.96189732
3.09339203,30.95054115
3.09100159,30.94871097
3.09086218,30.95608632
3.09637231,30.9581444
3.07655572,30.94509615
3.06746249,30.96036704
3.08974551,30.95839092
3.08524304,30.95375863
3.07368334,30.96530188
3.07046351,30.97419398
3.05860558,30.96698525
3.0720206,30.97998317
3.0644477,30.98199405
3.05665528,30.97313169
3.05327014,30.98075581
3.053711,30.97960378
3.05953304,30.9792691
3.06115703,30.97267354
3.04907144,30.97412623
3.06134703,30.97274514
3.06285824,30.97342583
3.08349872,30.9729012
3.0966438,30.93044235
3.08891936,30.93800319
3.09352011,30.9420146
3.08341473,30.94340114
3.07656541,30.9454289
3.08018708,30.94810214
3.05108757,30.9645441
3.05065221,30.96381643
3.05474106,30.95548053
3.06113973,30.93536746
3.04187499,30.94112411
3.04006105,30.9475939
3.04603429,30.95073935
3.04556832,30.95292568
3.04592072,30.94808645
3.052808,30.94696717
3.07292222,30.93631618
3.06409372,30.93876141
3.06094605,30.93339822
3.07233159,30.93945614
3.07331311,30.94207145
3.0565107,30.94947837
3.07316263,30.94841237
3.06652082,30.95023279
3.08720812,30.90911839
3.0596785,30.937151
3.06210103,30.93688555
3.07006764,30.93757179
3.06181232,30.91858409
3.06261018,30.92437442
3.06761056,30.92470654
3.06658986,30.92519416
3.06091912,30.9288385
3.0692437,30.91838985
3.06285565,30.91580306
0.564115,33.411035
3.07006957,30.91076167
3.06599367,30.90697431
3.06729893,30.89949815
3.07537215,30.90388923
3.07284526,30.91541497
3.06833429,30.92029826
3.07889387,30.91088839
3.06868157,30.93148571
3.05272796,30.9382525
3.09186759,30.91080909
3.07270196,30.93463477
3.09553179,30.92127074
3.07741817,30.92831207
2.99315712,30.95351846
2.99592277,30.95299172
3.00695037,30.95152327
3.00404735,30.95591741
2.98967484,30.95277848
3.00547135,30.94872012
2.99893893,30.95587294
3.02620027,31.07485511
3.03342834,31.08699353
3.02620417,31.07704068
3.04378741,31.06511019
3.03149902,31.10041637
3.03821544,31.06390591
3.02881961,31.06822181
3.00839421,31.02318084
3.03270414,31.1121339
3.01618693,31.0675876
3.0094271,30.941662
3.0120072,30.93867138
0.90041975,33.33381699
0.160521667,30.526425
3.01426243,30.93126568
3.01127773,30.93542619
3.00897531,30.9322919
3.00929118,30.93674295
3.01545919,30.93300811
3.00261144,30.94241222
3.00180652,30.93274606
3.00599208,30.94200119
3.00834594,30.93889411
2.9825784,30.93404112
2.99793523,30.93662937
2.99588479,30.94242479
2.99862658,30.93885838
2.99379443,30.93666411
-0.016706477,30.31799886
2.98904217,30.94807624
2.99433105,30.92405481
0.171515,30.56701
2.99264478,30.9454975
2.98599843,30.940141
2.98518548,30.95016981
0.05902,30.43701833
0.42664104,30.42604478
2.99241446,30.92412137
2.98762677,30.93105499
-0.140258333,30.401415
0.63697,33.35177333
2.98083204,30.93809122
2.98174922,30.94504113
2.99089841,30.93516768
2.99369356,30.93591787
0.135553333,30.34054167
0.30272,30.70780833
2.99391668,30.92485597
0.012246667,30.35781
2.99010089,30.93894627
3.01388163,30.9545141
0.73461239,33.36897517
0.35461174,30.42105884
3.01317117,30.95173648
0.75329122,33.30599691
0.38676,30.39117833
3.01539811,30.94843175
3.0171794,30.95329383
3.02442807,30.9567787
0.001583282,30.29814446
3.02887269,30.95482778
3.02543492,30.9489705
0.408363333,30.80606167
0.021578333,30.38549667
3.01068673,30.94796393
3.0146105,30.94789362
0.285433333,30.56588333
3.01470901,30.94739881
3.01406362,30.94080792
3.01911257,30.94288487
3.02318805,30.94652851
3.01805539,30.94798609
3.02020527,30.95650781
-0.07543,30.28832167
0.678095,33.2483
3.02823313,30.96085463
3.02202055,30.96502123
3.02018027,30.96242555
3.02028361,30.95490683
0.12989,30.37638667
0.661221667,33.26606667
3.00980249,30.94891887
3.02380462,30.94745367
0.400036667,30.41066167
2.98314212,30.92138696
3.00211036,30.91194447
2.99963183,30.91599603
3.01390434,30.97623319
3.01364894,30.97503753
0.007705,30.37641
2.99545465,30.91116571
2.98328997,30.91356285
2.98599043,30.91208292
0.347799289,30.69612185
2.97817443,30.92398624
2.98448211,30.92239165
0.151268333,30.52561667
3.0012107,30.91898773
3.01445662,30.97663688
-0.066023333,30.261785
3.01441075,30.97628622
3.00823567,30.97639655
3.01806773,30.97855482
3.01669017,30.97681262
0.326801534,30.40127865
0.171039584,30.40724622
3.01283029,30.97240396
3.00234247,30.97736071
3.00557891,30.97715689
1.050771,33.34611283
3.01137199,30.98068065
0.440763606,30.75565691
0.285604968,30.59661582
-0.117658333,30.376555
3.01509795,30.97631193
3.0146566,30.97721209
3.01229643,30.98673159
3.01705941,30.99059007
0.120228333,30.42273667
3.01719184,30.979159
0.3314621,33.530495
0.398846133,30.471796
3.01221253,30.9611903
3.01592985,30.96670535
3.00760261,30.97146032
0.214811667,30.46351
0.037483333,30.37893667
3.01186659,30.96956381
3.01032528,30.96728234
2.98986894,30.95987375
3.00328958,30.97130641
3.00742537,30.97338524
3.02215329,31.02684346
0.012663333,30.34437833
3.0213901,31.02977683
3.0181476,31.03666297
0.158659,30.49055167
0.820525,33.316445
0.334938333,30.53930167
3.00564743,31.04420416
2.99714692,31.04856325
0.975923333,33.32122333
0.936553333,33.327595
-0.012246667,30.33590333
0.316021194,30.74488931
-0.09814,30.317085
3.0349545,31.040689
3.01292468,31.02847
3.0036504,31.03985473
0.73308743,33.3733831
3.03154143,31.01364145
3.02101574,30.99338881
3.01777864,31.04762717
3.01843082,31.04827357
0.241033333,30.42000667
3.00177999,31.07089575
3.02842305,31.03887498
3.01388848,31.04641094
3.03092436,31.04703703
3.00835869,31.04349781
-0.163828333,30.41788667
3.01884902,30.99026301
0.2586583,33.5196517
0.360493333,30.51257833
0.42968499,30.73538729
3.03204355,31.03104372
0.1764877,33.5628867
3.00305315,30.86206807
3.03997664,30.88543188
3.04107775,30.88907198
3.03141486,30.89926203
3.03979338,30.8887867
0.2546349,33.4933583
0.373588333,30.45761333
0.301458333,30.791735
3.03882302,30.90110932
0.92764119,33.32159851
3.03818444,30.89818775
3.03540953,30.89852586
3.03918204,30.89976863
3.03690624,30.90105907
3.03797096,30.89535529
0.3322423,33.5268851
0.955501667,33.39576333
0.71183465,33.24874978
3.03494626,30.89278909
3.04346067,30.89169338
-0.076495,30.33189
0.304676667,30.75645667
3.04972044,30.8888573
0.4189289,30.42393919
3.04656503,30.8887915
3.0335977,30.89204527
3.58788,32.706
3.03374934,30.89099277
3.03162125,30.89847023
3.03695188,30.88743425
3.03827183,30.89664074
3.04334222,30.89122596
-0.06484,30.26191333
3.01860304,30.89887301
3.01787888,30.89841576
0.003608333,30.30043
3.01731867,30.8985877
0.98297,33.32427833
3.01800346,30.89739031
0.337676667,30.43883667
0.829968333,33.362985
3.03362606,30.88345675
0.281831667,30.73402667
3.02464746,30.88294361
3.02986886,30.89463352
-0.087685,30.37502167
3.03038138,30.89319363
3.02707192,30.89294822
3.02505256,30.89129739
3.02179187,30.89751792
3.02271755,30.89467431
3.02730154,30.88094199
3.03278251,30.88665995
3.01957536,30.9014162
0.772545,33.33062167
2.98024543,30.89114954
-0.068291667,30.367525
2.97749203,30.88857387
0.658226667,33.32632167
2.97706727,30.8933588
-0.098956667,30.32165167
2.97282148,30.89045324
2.97392819,30.89238456
-0.06619,30.40538167
2.966183,30.89863115
0.350426667,30.52221167
2.96570767,30.90064641
2.97806068,30.89279037
2.99930707,30.90224636
2.99724072,30.90434565
0.98227,33.38670167
2.97752635,30.91121758
2.97652932,30.91464573
2.97308138,30.90815942
2.98144973,30.90625513
0.111748333,30.36906333
2.98356302,30.90504609
2.98414806,30.90367807
2.98721829,30.91118131
2.99424276,30.91096117
0.203053333,30.64018667
2.99419273,30.90844324
2.97804789,30.90026337
2.97450335,30.84404849
0.40301,30.70381333
2.99857015,30.84891151
0.167875,30.416375
0.429588333,30.73545333
2.96707161,30.85313622
2.99072712,30.85108504
0.964355,33.32457167
2.99756981,30.84137766
2.99320544,30.83795106
0.433798333,30.75520167
2.99067881,30.84034802
2.99301055,30.84454298
2.99105462,30.84753233
2.98685141,30.84789123
2.97762413,30.84494167
0.092753333,30.44386833
2.97761421,30.8490962
2.98976024,30.85132972
2.98163287,30.84224512
2.98027424,30.85015215
0.60968437,33.39457171
2.98336402,30.8582844
2.98548682,30.85276785
-0.138901667,30.41665833
0.697515,33.38356667
2.99403936,30.82994609
2.98040965,30.84085368
2.97303241,30.84081409
2.99530241,30.83317191
2.97985353,30.85229318
2.99845978,30.84339026
0.054283333,30.392115
2.98553753,30.83264255
