lat_deg,lon_deg
-0.127996667,30.39230833
3.01545919,30.93300811
-0.140258333,30.401415
-0.126105,30.38856
3.00211036,30.91194447
3.01390434,30.97623319
3.01364894,30.97503753
3.01543411,30.98203119
3.01705941,30.99059007
3.01186659,30.96956381
-0.06688,30.28519833
3.04217722,30.88728019
0.252208333,30.44473833
0.003608333,30.30043
-0.087685,30.37502167
-0.068291667,30.367525
3.01689285,30.90278829
0.047188333,30.40508667
-0.121735,30.39494667
-0.034121667,30.38086667
0.424025,30.716475
-0.043245,30.29183
0.316196667,30.41681
-0.034828333,30.3938
2.77810129,31.13308661
2.6946666,31.203911
-0.141288333,30.43107833
2.6955948,31.18357838
2.69122637,31.1769667
2.69921597,31.17432012
2.69192589,31.25918178
2.69042684,31.17445012
2.68738798,31.1620727
2.68694778,31.15800001
2.68748574,31.1669282
2.67228521,31.24692611
-0.087848333,30.39440667
2.92702487,31.13685749
0.18553,30.452175
-0.048131667,30.38141
-0.078561667,30.39189
-0.042276667,30.353565
-0.115196667,30.38340833
-0.11158,30.36772667
3.21788034,31.02316798
3.21618952,31.0092643
3.20523226,31.01911741
-0.051731667,30.38833
3.20617607,31.02556528
3.21728377,31.01861742
3.2319169,31.01594439
3.21916686,31.02450583
3.21920817,31.02715043
3.21875529,31.02209583
3.23559689,31.01597322
3.23954435,31.00492792
3.24241724,31.01290141
3.2087638,31.02184521
3.21474454,31.01936895
-0.078391667,30.41106833
3.23615351,31.01856287
3.22307622,31.01696904
3.20314314,31.03286636
-0.03484,30.39126833
-0.148928333,30.42759667
-0.072808333,30.39562667
-0.081808333,30.36262167
3.05227496,31.14001912
-0.08411,30.36801167
3.0998625,30.96762652
3.10005261,30.96775207
0.052391667,30.41507167
3.10852276,30.99041951
3.10077362,30.98537937
3.10985249,30.99074978
-0.10174,30.397045
-0.115383333,30.38725167
3.26688262,31.27539071
0.056733333,30.395165
-0.117138333,30.38866167
-0.096155,30.40847667
-0.028638333,30.393055
-0.081626667,30.39108
-0.027931667,30.28866
-0.153833333,30.44225167
3.09314547,31.24532815
3.09374174,31.24499434
-0.11969,30.39171833
0.330223333,30.64654167
-0.117316667,30.38720333
-0.10006,30.34995667
-0.153876667,30.42356667
2.8763014,30.9804563
2.87865004,30.97925618
2.87505487,30.97098054
2.87434772,30.98004609
2.87207976,30.97577871
2.87063464,30.9664832
2.87251553,30.96664173
2.87056085,30.96062037
2.86892408,30.96046141
2.87018991,30.96048614
2.8748441,30.97954164
2.88148876,30.96393711
2.87569753,30.96128567
2.87379809,30.96086641
2.87192748,30.96139128
2.88438972,30.94320465
2.88253909,30.94476364
2.88283416,30.96295455
-0.050271667,30.305775
2.70405261,30.91673498
2.70113809,30.91483392
-0.038063333,30.35104333
2.70552693,30.92233371
0.218746667,30.49778833
2.72614292,30.92880792
2.65235459,30.92691857
2.70606716,30.93155736
2.71181193,30.93892914
2.72367122,30.93729064
2.72690137,30.93869673
2.73007754,30.93502297
