lat_deg,lon_deg
0.564115,33.411035
0.56475371,33.40976768
-0.165366667,30.431165
0.56484299,33.40984931
-0.100366667,30.39244833
0.658226667,33.32632167
-0.06619,30.40538167
0.56518386,33.41202024
0.214871667,30.53272667
0.329413333,30.42000833
0.76117175,33.33343229
0.80277,33.29376333
-0.14209,30.40572833
-0.176148333,30.42933333
0.171035,30.370395
-0.1502,30.44797667
-0.07438,30.38218167
0.180613333,30.41901833
0.209225,30.540885
0.759375,33.327155
-0.104451667,30.36942833
0.333261667,30.433
-0.095488333,30.395705
0.400733333,30.79432167
0.046693333,30.41815833
0.335596667,30.76253167
0.171018333,30.37181167
0.186855,30.44658833
0.046411667,30.41804667
-0.096205,30.40844833
-0.11984,30.39152833
0.79809977,33.31221352
-0.043728333,30.3803
0.17549,30.40803833
0.327018333,30.44294667
-0.178953333,30.42708333
-0.043311667,30.34839
0.130098333,30.375855
-0.08032,30.38988
0.809701667,33.29542833
0.240261667,30.50172667
0.76994,33.31432
0.322901667,30.44818
-0.009006667,30.30466167
-0.05191,30.254525
0.308865,30.43372667
-0.062158333,30.27399
-0.064171667,30.39387667
0.76327875,33.33116422
0.407378333,30.814245
-0.067378333,30.40189167
0.051181667,30.391505
-0.101665,30.38672333
0.23448,30.51300833
0.325526667,30.44725667
-0.087465,30.36120667
0.180108333,30.420065
0.250226667,30.49280833
0.82197957,33.36214756
0.183183333,30.47800333
-0.03088,30.38012667
0.130305,30.37766833
-0.119103333,30.41238833
0.76787594,33.33135964
-0.176705,30.427355
-0.14605,30.444045
0.32718,30.80599667
0.150605,30.43585833
-0.087601667,30.37510833
0.68490648,33.35332715
0.00505,30.365465
0.340805,30.795515
0.564865,33.41068333
0.79628652,33.31155335
0.81891675,33.36407278
0.69070609,33.36819404
-0.107158333,30.36280333
0.205873333,30.42992333
-0.084986667,30.40635
0.15219,30.50752833
0.7590895,33.27392635
0.82086819,33.36402522
-0.03626,30.37697167
-0.11146,30.36767833
-0.11669,30.39743667
-0.066938333,30.39807333
0.186841667,30.451985
-0.104648333,30.37081
-0.058633333,30.26594833
0.56383,33.41020833
-0.04234,30.352925
0.314473333,30.42616167
-0.154636667,30.408385
