lat_deg,lon_deg
0.187005,30.45235667
0.303422481,30.76103938
0.65328545,33.29144805
0.3361625,33.5218819
0.14803,30.34434667
0.409741667,30.73384833
0.203031667,30.640235
0.403378333,30.43094833
0.95309574,33.31190534
0.168877643,30.40424937
-0.07338,30.38911667
0.352001256,30.60785158
0.2417166,32.576275
0.35,32.64
0.4,32.67
0.256864786,30.64221517
0.696771667,33.398205
1.2607083,33.9807944
0.52,32.53
0.31,32.76
0.82,31.36
0.42,32.14
0.43,31.25
0.732471667,33.29389167
0.137368333,30.39445667
0.44,33.33
0.39,33.25
-0.095535,30.39572667
0.291041902,30.62041489
0.1980667,33.4858444
-0.063026667,30.285945
0.66,31.46
-1.1129528,30.0542583
0.166544,32.546808
0.44115,33.2222
0.2175917,33.4613111
0.3293306,33.7042139
0.4,33.36
0.2686972,33.6910278
0.3220194,33.7113056
0.2755167,33.6978333
0.35,33.44
0.45,33.29
0.2846111,33.4033333
0.4380333,33.2021677
0.3068889,30.6929139
0.2918333,30.6805
0.429825,33.3112889
0.163705,32.4859
0.3187472,33.6278636
0.4490833,33.1742861
0.2397667,33.4257417
0.2007417,32.5191472
0.75,32.76
2.2051722,31.3016556
2.1538028,31.4897528
0.307459,33.6693707
-0.1028528,32.6802611
1.688952,31.70887
0.4924083,33.3853556
0.4,33.22
0.1877556,33.8531444
1.124274,31.595372
1.181945,32.020752
0.688613,32.610758
0.37,32.76
0.3552722,32.7393638
0.3773083,32.7736306
2.69,32.45
1.17,33.32
0.58,32.91
0.08,32.46
1.01,33.02
0.36,32.89
0.4,33.07
0.37,32.73
1.33,34.04
1.49,33.94
1.5486111,33.9331861
0.29,32.8
0.33,32.77
-0.01,30.01
-0.85,30.15
0.71,30.31
0.58,32.91
0.67,30.28
0.27,32.6
1.68,31.71
0.32274,33.5103168
2.0482,32.6439
2.0619,32.6912
2.0809,32.6961
2.1302,32.6682
2.0671,32.6978
2.1287,32.6345
1.9171,32.5658
1.9618,32.5931
1.8943,32.5426
2.0037,32.6268
2.0476,32.6122
2.2022,32.5937
1.713,32.293
1.7749,32.5845
2.0105,32.6038
1.9486,32.5097
1.935,32.5189
1.909,32.498
1.9344,32.4771
1.9475,32.8022
1.9044,32.4309
